chapter,section,title,url,paragraph_id,sentence,within_para_sent_order,sentence_id
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,1,Cells fall into one of two broad categories: prokaryotic and eukaryotic.,1,0
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,1,We classify only the predominantly single-celled organisms Bacteria and Archaea as prokaryotes (pro- = “before”; -kary- = “nucleus”).,2,1
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,1,"Animal cells, plants, fungi, and protists are all eukaryotes (eu- = “true”).",3,2
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,2,"All cells share four common components: 1) a plasma membrane, an outer covering that separates the cell’s interior from its surrounding environment; 2) cytoplasm, consisting of a jelly-like cytosol within the cell in which there are other cellular components; 3) DNA, the cell's genetic material; and 4) ribosomes, which synthesize proteins.",1,3
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,2,"However, prokaryotes differ from eukaryotic cells in several ways.",2,4
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,3,"A prokaryote is a simple, mostly single-celled (unicellular) organism that lacks a nucleus, or any other membrane-bound organelle.",1,5
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,3,We will shortly come to see that this is significantly different in eukaryotes.,2,6
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,3,Prokaryotic DNA is in the cell's central part: the nucleoid (Figure ).,3,7
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,4,Most prokaryotes have a peptidoglycan cell wall and many have a polysaccharide capsule (Figure ).,1,8
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,4,"The cell wall acts as an extra layer of protection, helps the cell maintain its shape, and prevents dehydration.",2,9
4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,4,The capsule enables the cell to attach to surfaces in its environment.,3,10
