task_id,sentence,term_1,term_2,Alg 1,Alg 2
25,"During interphase, the cell grows and DNA is replicated.",interphase,replicated,functional,participant
51,"We should note, however, that interphase and mitosis (kayrokinesis) may take place without cytokinesis, in which case cells with multiple nuclei (multinucleate cells) are produced.",interphase,cytokinesis,participant,no_relationship
140,The final preparations for the mitotic phase must be completed before the cell is able to enter the first stage of mitosis.,mitosis,mitotic phase,causal,event_structure
176,"Prophase (the â€œfirst phaseâ€ù): the nuclear envelope starts to dissociate into small vesicles, and the membranous organelles (such as the Golgi complex [Golgi apparatus] and the endoplasmic reticulum), fragment and disperse toward the periphery of the cell.",nuclear envelope,golgi apparatus,component,no_relationship
209,"Microtubules that will form the mitotic spindle extend between the centrosomes, pushing them farther apart as the microtubule fibers lengthen.",mitotic spindle,microtubules,spatial,no_relationship
257,These microtubules overlap each other midway between the two poles and contribute to cell elongation.,poles,cell elongation,spatial,no_relationship
260,"Astral microtubules are located near the poles, aid in spindle orientation, and are required for the regulation of mitosis.",spindle,astral microtubules,participant,functional
295,"Each chromatid, now called a single chromosome, is pulled rapidly toward the centrosome to which its microtubule is attached.",centrosome,microtubule,no_relationship,spatial
354,"Although the stages of mitosis are similar for most eukaryotes, the process of cytokinesis is quite different for eukaryotes that have cell walls, such as plant cells.",plant cells,cell wall,no_relationship,component
392,"During interphase, the Golgi apparatus accumulates enzymes, structural proteins, and glucose molecules prior to breaking into vesicles and dispersing throughout the dividing cell.",golgi apparatus,dividing cell,no_relationship,component
393,"During interphase, the Golgi apparatus accumulates enzymes, structural proteins, and glucose molecules prior to breaking into vesicles and dispersing throughout the dividing cell.",golgi apparatus,structural proteins,functional,no_relationship
432,Enzymes use the glucose that has accumulated between the membrane layers to build a new cell wall.,cell wall,glucose,no_relationship,component
460,"Some cells enter G0 temporarily due to environmental conditions such as availability of nutrients, or stimulation by growth factors.",growth factors,nutrients,no_relationship,functional
